"SpatialReferenceID","verbatimLatitude","verbatimLongitude","samplingFeatureName","Program"
NA,38.12832,-102.1344,NA,"NRSA"
NA,39.11132,-104.9048,NA,"NRSA"
NA,39.34429,-104.9723,NA,"NRSA"
NA,37.4215,-103.8042,NA,"NRSA"
NA,38.12673,-102.6092,NA,"NRSA"
NA,37.7904,-103.8207,NA,"NRSA"
NA,39.23988,-105.648,NA,"NRSA"
NA,38.59278,-107.44724,NA,"NRSA"
NA,37.97364,-108.82663,NA,"NRSA"
NA,37.36589,-108.59263,NA,"NRSA"
NA,39.79389,-105.59107,NA,"NRSA"
NA,38.06945,-106.37607,NA,"NRSA"
NA,39.24139,-104.95751,NA,"NRSA"
NA,39.78508,-106.3605,NA,"NRSA"
NA,37.59607,-105.39898,NA,"NRSA"
NA,40.43239,-106.11899,NA,"NRSA"
NA,40.14887,-108.32648,NA,"NRSA"
NA,39.58166,-107.28809,NA,"NRSA"
NA,40.1687,-105.99117,NA,"NRSA"
NA,46.86041,-116.03806,NA,"NRSA"
NA,42.37661,-111.47717,NA,"NRSA"
NA,44.4664,-111.91133,NA,"NRSA"
NA,44.13731,-115.18667,NA,"NRSA"
NA,46.36471,-116.74636,NA,"NRSA"
NA,47.10877,-116.73196,NA,"NRSA"
NA,42.90988,-112.32627,NA,"NRSA"
NA,43.52574,-111.25428,NA,"NRSA"
NA,44.38768,-114.69394,NA,"NRSA"
NA,46.66214,-115.7863,NA,"NRSA"
NA,46.93882,-116.46172,NA,"NRSA"
NA,42.85248,-112.07726,NA,"NRSA"
NA,47.19756,-115.63723,NA,"NRSA"
NA,44.70859,-115.83017,NA,"NRSA"
NA,45.89351,-115.44778,NA,"NRSA"
NA,46.94552,-110.74877,NA,"NRSA"
NA,46.41473,-111.99713,NA,"NRSA"
NA,45.27109,-110.77437,NA,"NRSA"
NA,46.97382,-112.62295,NA,"NRSA"
NA,45.37006,-111.62065,NA,"NRSA"
NA,45.24671,-106.16078,NA,"NRSA"
NA,45.78824,-113.44401,NA,"NRSA"
NA,46.4108,-109.03573,NA,"NRSA"
NA,45.80412,-112.3804,NA,"NRSA"
NA,45.72391,-111.17057,NA,"NRSA"
NA,47.987,-114.56456,NA,"NRSA"
NA,46.68552,-114.55801,NA,"NRSA"
NA,45.55253,-110.30636,NA,"NRSA"
NA,46.67541,-110.43969,NA,"NRSA"
NA,48.27115,-109.52618,NA,"NRSA"
NA,45.23513,-113.4746,NA,"NRSA"
NA,47.21191,-112.49504,NA,"NRSA"
NA,45.82571,-112.88098,NA,"NRSA"
NA,45.3301,-112.30923,NA,"NRSA"
NA,47.49904,-110.71565,NA,"NRSA"
NA,48.62027,-106.95642,NA,"NRSA"
NA,45.06537,-113.20299,NA,"NRSA"
NA,45.7061,-110.78867,NA,"NRSA"
NA,46.26998,-100.32274,NA,"NRSA"
NA,48.93314,-97.82189,NA,"NRSA"
